"No.","Compound","Species","Percentage","Ref."
" "," "," ","8.1","(45)"
" "," ","N. glomerulosa","9.3","(35)"
" "," ","N. cataria","8.2","(24)"
"24","β-Bourbonene","N. oxyodonta","8.1","(48)"
" "," ","N. ucrainica ssp. kopetdaghensis","5.8","(55)"
"25","β-Caryophyllene","N. fissa","17.4","(30)"
" "," ","N. depauperata","12.9","(32)"
" "," "," ","23.4","(22)"
" "," "," ","7.8","(22)"
" "," ","N. oxyodonta","12.6","(48)"
" "," "," ","17.8","(22)"
" "," ","N. satureioides","6.6","(53)"
" "," ","N. bracteata","5.0","(22)"
" "," ","N. laxiflora","7.2","(22)"
" "," ","N. denaensis","5.4","(22)"
" "," "," ","7.8","(22)"
" "," "," ","27.1","(31)"
" "," ","N. pungens","20.0","(22)"
" "," ","N. bracteata","11.2","(21)"
" "," ","N. cataria","5.7","(23)"
" "," ","N. heliotropifolia","11.3","(38)"
"26","α-Humulene","N. cataria","14.4","(24)"
"27","E-β-Farnesene","N. sintenisii","9.5","(54)"
"28","γ-Muurolene","N. fissa","7.9","(30)"
"20","Germacrene D","N. oxyodonta","7.4","(48)"
" "," ","N. macrosiphon","9.2","(43)"
" "," ","N. involucrate","15.1","(39)"
" "," ","N. mahanensis","6.5","(27)"
" "," ","N. betonicifolia","6.0","(20)"
" "," ","N. saccharata","12.9","(20)"
" "," ","N. daenensis","11.4","(31)"
" "," ","N. ucrainica ssp.","39.7","(55)"
"30","Valencene","N. fissa","6.6","(30)"
"31","Bicyclogermacrene","N. macrosiphon","5.7","(43)"
" "," ","N. bracteata","11.4","(21)"
" "," ","N. daenensis","9.6","(31)"
"32","α-Muurolene","N. macrosiphon","6.0","(43)"
"33","Elemol","N. sintenisii","16.1","(54)"
" "," ","N. haussknechtii","11.4","(37)"
"34","Spathulenol","N. depauperata","31.8","(32)"
" "," ","N. oxyodonta","8.5","(48)"
" "," ","N. macrosiphon","14.1","(43)"
" "," ","N. makuensis","9.0","(44)"
" "," ","N. bracteata","14.0","(21)"
" "," ","N. heliotropifolia","8.3","(38)"
"35","Germacrene D-4-ol","N. oxyodonta","6.8","(48)"
"36","Caryophyllene oxide","N. fissa","12.3","(30)"
" "," ","N. depauperata","10.3","(32)"
" "," ","N. oxyodonta","5.3","(48)"
" "," ","N. satureioides","6.4","(53)"
" "," ","N. macrosiphon","8.1","(43)"
" "," ","N. glomerulosa","8.0","(35)"
" "," ","N. mirzayanii","7.8","(21)"
" "," ","N. bracteata","12.3","(21)"
" "," ","N. heliotropifolia","14.2","(38)"
"37","Viridiflorol","N. makuensis","17.5","(44)"
"38","α-Cadinol","N. depauperata","5.4","(32)"
" "," ","N. macrosiphon","5.0","(43)"
"39","(Z,E)-Farnesol","N. satureioides","14.7","(53)"
