"Compound","RIa","RIb","RI1","RI2","Leaves","Stalks","Roots","Identification"
"α-Thujene","928","1035","929 (37)","1035 (38)","7.9a±0.5","7.5a±0.4","7.0b±0.5","MS, RI, CoI"
"α-Pinene","939","1032","938 (39)","1032 (39)","–","1.0a±0.4","0.5b±0.1","MS, RI, CoI"
"β-Pinene","980","1118","980 (39)","1118 (39)","–","–","1.2a±0.0"," "
"Myrcene","991","1174","993 (39)","1174 (39)","–","0.6b±0.0","0.9a±0.0","MS, RI, CoI"
"α-Terpinene","1018","1188","1017 (40)","1188 (38)","5.3a±0.6","0.5b±0.0","–","MS, RI, CoI"
"Limonene","1030","1203","1030 (39)","1203 (39)","6.5b±0.6","7.9a±1.0","1.7b±0.1","MS, RI, CoI"
"Terpinolene","1092","1290","1092 (43)","1290 (38)","–","–","0.5a±0.2","MS, RI, CoI"
"γ- Terpinene","1062","1255","1059 (40)","1255 (41)","1.1b±0.1","2.5a±0.5","2.2a±0.3","MS, RI, CoI"
"Borneol","1165","1719","1167 (39)","1719 (39)","1.0b±0.3","1.4a±0.2","–","MS, RI, CoI"
"Thymol","1295","2197","1293 (39)","2198 (39)","–","–","0.2a±0.0","MS, RI, CoI"
"Eugenol","1356","2186","1353 (39)","2186 (39)","–","–","0.7a±0.1","MS, RI, CoI"
"β-Caryophyllene","1419","1612","1415 (39)","1612 (39)","0.6b±0.0","1.1a±0.0","–","MS, RI, CoI"
"β-Selinene","1481","1742","1475 (39)","1715 (39)","1.5b±0.1","1.7b±0.0","2.3a±0.12","MS, RI, CoI"
"3-n-Butylphthalide","1649","2520","1646 (42)"," ","5.8c±0.3","7.4b±0.6","14.4a±0.9","MS, RI"
"(Z)-3-Butylidenephthalide","1665","2445","1667 (42)","2450 (47)","27.8c±0.7","38.9b±1.6","52.0a±1.1","MS, RI"
"Apiole","1670","–","1671 (48)"," ","0.4c±0.1","0.9b±0.0","1.3a±0.2","MS, RI"
"3-Butyl-4,5-dihydrophthalide","1745","2562","1702 (9)"," ","41.0a±2.8","27.8b±1.3","13.2c±0.9","MS"
"Eicosane","2000","2000","2000 (49)","2000 (49)","–","–","0.5a±0.0","MS, RI, CoI"
,,,,,,,," "
"Total identified"," "," "," "," ","98.9","99.2","98.6"," "
" Chemical classes"," "," "," "," "," "," "," "," "
" Hydrocarbons"," "," "," "," ","23.1a±1.2","22.9ab±1.0","17.0b±0.9"," "
" Alcohols"," "," "," "," ","1.0b±0.4","1.4a±0.2","–"," "
" Phenols"," "," "," "," ","–","–","0.9a±0.1"," "
" Phthalides"," "," "," "," ","74.6b±2.0","74.1ab±2.2","79.7a±2.4"," "
" Others"," "," "," "," ","0.4c±0.0","0.9b±0.0","1.3a±0.1"," "
" Total identified"," "," "," "," ","99.2","99.4","99.1"," "
,,,,,,,,"Notes: Components are listed in order of elution in apolar column (HP-5); RIa, RIb, retention indices calculated using respectively an apolar column (HP-5) and polar column (HP-Innowax); RI1, RI2, retention indices according to bibliographic data on an apolar column (1) and polar column (2); MS, mass spectrometry; CoI, co-injection; RI, retention indice; volatile compound proportions were calculated from the chromatograms obtained on the HP-Innowax column. Values followed by the same small letter did not share significant differences at p<0.05 (Duncan test)."
